tweet_id,in_reply_to_status_id,in_reply_to_user_id,source,retweeted_status_id,retweeted_status_user_id,retweeted_status_timestamp,expanded_urls,cleantext,corrected_numerator,corrected_denominator,timestampn,jpg_url,corrected_name,dog_stage,favorite_count,retweet_count
891815181378084864,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,https://twitter.com/dog_rates/status/891815181378084864/photo/1,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 ,12.0,10,2017-07-31 00:18:03+00:00,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Archie,,24470.0,4036.0
891689557279858688,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,https://twitter.com/dog_rates/status/891689557279858688/photo/1,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us ,13.0,10,2017-07-30 15:58:51+00:00,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,Darla,,41181.0,8395.0
891327558926688256,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,"https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1","This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek ",12.0,10,2017-07-29 16:00:24+00:00,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,Franklin,,39365.0,9103.0
891087950875897856,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,https://twitter.com/dog_rates/status/891087950875897856/photo/1,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek ,13.0,10,2017-07-29 00:08:17+00:00,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,tucker_marlo,,19787.0,3019.0
890971913173991426,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,"https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1","Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

",13.0,10,2017-07-28 16:27:12+00:00,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,Jax,,11572.0,1998.0
890729181411237888,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 ,13.0,10,2017-07-28 00:22:40+00:00,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,None,,63840.0,18329.0
890609185150312448,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,https://twitter.com/dog_rates/status/890609185150312448/photo/1,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek ,13.0,10,2017-07-27 16:25:51+00:00,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Zoey,,27197.0,4151.0
890240255349198849,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,https://twitter.com/dog_rates/status/890240255349198849/photo/1,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate ,14.0,10,2017-07-26 15:59:51+00:00,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Cassie,doggo,31180.0,7168.0
890006608113172480,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek ,13.0,10,2017-07-26 00:31:25+00:00,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,Koda,,29970.0,7121.0
889880896479866881,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,https://twitter.com/dog_rates/status/889880896479866881/photo/1,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy ,13.0,10,2017-07-25 16:11:53+00:00,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,Bruno,,27184.0,4835.0
889665388333682689,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,https://twitter.com/dog_rates/status/889665388333682689/photo/1,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 ,13.0,10,2017-07-25 01:55:32+00:00,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,None,puppo,47010.0,9753.0
889638837579907072,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1",This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist ,12.0,10,2017-07-25 00:10:02+00:00,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,Ted,,26521.0,4400.0
889531135344209921,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,https://twitter.com/dog_rates/status/889531135344209921/photo/1,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek ,13.0,10,2017-07-24 17:02:04+00:00,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,Stuart,puppo,14770.0,2187.0
889278841981685760,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,https://twitter.com/dog_rates/status/889278841981685760/video/1,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek ,13.0,10,2017-07-24 00:19:32+00:00,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,Oliver,,24666.0,5212.0
888917238123831296,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,https://twitter.com/dog_rates/status/888917238123831296/photo/1,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both ,12.0,10,2017-07-23 00:22:39+00:00,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,Jim,,28471.0,4375.0
